Wall time,Step,Value
1717348806.015225,0,0.7013208270072937
1717350500.7428386,1,0.7275245189666748
1717352195.8773751,2,0.586280345916748
1717353882.5641,3,0.7269564270973206
1717355574.0151038,4,0.7269564270973206
1717357272.6271443,5,0.7269564270973206
1717358971.4095085,6,0.7269564270973206
1717360664.3140953,7,0.7269564270973206
1717362357.538059,8,0.7269564270973206
1717364047.3443632,9,0.7269564270973206

